body,title,url
"
El Instituto Venezolano de Seguridad Social (IVSS) no deja de sorprender a sus trabajadores con actividades para mantener la mente y los músculos activos, esta semana no fue la excepción, pues muy amablemente el IVSS reunió a sus trabajadores para una hermosa tarde de patear abuelos que se acercaban a preguntar por la pensión.

Magaly Gutiérrez, presidenta del IVSS, repartió tacos de fútbol a sus subordinados mientras daba un breve discurso antes de iniciar el “Gran Pateatlón de Abuelos 2022” de los jueves: “Viejo que veo, viejo que pateó. Ya basta de los abusos de los ancianos que creen que porque trabajaron toda su vida y aportaron parte de su sueldo al desarrollo del país creen que merecen una pensión. No sean ustedes tan pajúos, esos $20 al mes que repartimos entre toda la tercera edad ahora serán usados para pulir nuestros zapatos después de que les chutemos los estómagos. A nosotros no nos sobra la plata para andar regalándola, si les damos una pensión digna a cada uno ¿cómo se supone que le demos una 4Runner de 40 mil dólares a cada ministro todas las quincenas?, un poquito de comprensión, por favor” exclamó la presidenta del IVSS antes de hacerle una chilena en la nuca a una señora.
",IVSS anuncia jueves de patear abuelos,https://www.elchiguirebipolar.net/11-08-2022/ivss-anuncia-jueves-de-patear-abuelos/
"
Las crisis económicas afectan a las personas, a los negocios e incluso a los clubes de fútbol más importantes de la región andina. Sin embargo, siempre existen soluciones inteligentes, como la que aplicó el Deportivo Táchira al anunciar una vacante para el puesto de community manager que sepa diseñar, tomar fotografías y meter goles de cabeza.

La oportunidad laboral fue publicada la mañana del lunes y más de 7 interesados ya han mandado sus hojas de vida. Por su parte, Jorge Silva Cardona, presidente del Club, amante de los aurinegros y vendedor de 25 tequeños por $1, dice estar emocionado con esta nueva etapa de su equipo: “Con estos cambios emocionantes tendremos Deportivo Táchira al menos por 3 semanas más. Pero bueno, primero necesitamos encontrar al candidato ideal. Un chamo con ganas de trabajar, 25 años de experiencia en marketing y una zurda de oro. Ah, y que acepte 200 bolívares trimestrales. Si no es así, que ni se molesten en mandar CV”, sentenció Silva Cardona antes de ofrecernos unos deliciosos chocolates Nikolo.
","Deportivo Táchira busca nuevo community manager que también sea diseñador, fotógrafo, delantero centro y acepte pago móvil",https://www.elchiguirebipolar.net/01-08-2022/deportivo-tachira-busca-nuevo-community-manager-que-tambien-sea-disenador-fotografo-delantero-centro-y-acepte-pago-movil/
"
Pedro Carreño, diputado por la bancada grosera de la Asamblea Nacional, ofreció un discurso dirigido al gobierno de Argentina, exigiendo la liberación inmediata del avión de Conviasa detenido en Ezeiza. Según el funcionario encargado del whisky parlamentario, ese avión está secuestrado por el gobierno de Estados Unidos por ser un honesto empresario, diplomático y padre venezolano, que ayudaba a Venezuela a saltarse el “feroz” bloqueo impuesto por los Estados Unidos.

Luego de la discusión sobre la promulgación de la nueva Ley Orgánica para el tránsito de 4Runners sin placa, Carreño gritó y ladró durante 15 minutos para luego hablar como un ser humano: “Yo vengo aquí a poner las verdades y una bandeja de quesos suizos y fiambre sobre la mesa, ese señor avión que tienen secuestrado los argentinos por orden de Joe Biden es la aeronave más honesta que he conocido, un simple empresario que trabaja para traer bienestar, alimentos y ropa de Shein a Venezuela. Es una violación a la soberanía de Venezuela que no dejen que ese padre de 5 avionetas se reúna nuevamente con su familia en rampa 6 de Maiquetía, solo porque se sospechan nexos con el terrorismo y con el asesinato de un fiscal paraguayo, ay sí, debe ser que todos aquí somos blancas palomas, ¡JALABOLAS DE LOS GRINGOS TE DIJE YA ALBERTO FERNÁNDEZ!”, sentenció Pedro Carreño mientras apagaba un tabaco en el ojo de un periodista.
",Gobierno asegura que el avión de Conviasa detenido en Argentina es un honesto empresario venezolano,https://www.elchiguirebipolar.net/12-08-2022/gobierno-asegura-que-el-avion-de-conviasa-detenido-en-argentina-es-un-honesto-empresario-venezolano/
"
El Batman de Ben Affleck es lo suficientemente ingenioso para derrotar a la Liga de la Justicia, pero no al liguero de la justicia de Jennifer López. Se rumora que antes de su matrimonio, esta pareja de Hollywood firmó un acuerdo en el que se comprometían a tener sexo mínimo 4 veces por semana, lo cuál ha desgastado tanto al actor que fue descubierto en Morrocoy, Venezuela, gastando 10.000 USD en los cócteles marinos llamados “vuelve a la vida” populares por sus propiedades afrodisiacas.

Un vendedor de camarones de la zona avistó al actor y de inmediato se comunicó con el medio más confiable que conoce: El Chigüire Bipolar: “Estaba yo en Cayo Sombrero gritando a todo pulmón ‘¡CAMAROOOOOONES!’ cuando de repente veo al señor Batman flaaaaco entregando una paca de dólares a mi compadre, quién estaba feliz dándole sus 3 siete potencias al pana. Se le notaba que estaba haciendo la dieta de Yailin, pero es que no es fácil, ni a Robin le daba matraca como le da a esa chama JLO, que lo veía desde el yate con una sonrisa de oreja a oreja y una lata de crema chantilly como de 2 kilos”, aseguró el vendedor mientras le hacía un yuyito a uno de los perros de la playa.
",Avistan a Ben Affleck pidiendo $10.000 de rompe colchón en Morrocoy,https://www.elchiguirebipolar.net/03-08-2022/avistan-a-ben-affleck-pidiendo-10-000-de-rompe-colchon-en-morrocoy/
"
El día de hoy, la Comunidad de Estados Latinoamericanos y Caribeños (CELAC) decidió subir sus estándares —¡deberías aprender, tú, que aún sigues hablando con tu ex!— y anunció que comenzará a exigir a aquellos migrantes que huyen de las crisis económicas de sus países que por favor tengan por lo menos el dinero suficiente para mantener a 34 familias y les quede algo para invertir en negocios antes de mudarse.

Alberto Fernández, presidente de la CELAC —y de Argentina en sus ratos libres— dio a conocer la nueva exigencia del organismo multilateral: “Y bueno, en aras de fomentar la integración y la solidaridad entre nuestros países, anunciamos esta nueva medida implementada por la CELAC. Si van a emigrar, todo bien; pero háganlo con una platita, ¿okey? Sean como Chávez, que cuando llegaba con dinero todos lo recibíamos con alfombra roja. Bienvenidos emigrantes, ¡pero emigrantes con guita! Con guita para mantener a su familia y a unos cuantos argentinos. Ché, qué situación tan triste en la que nos encontramos, pero bueno pronto viene el mundial, ¿viteh? Y venderemos muchas remeras de Messi, eso evitará que la moneda se siga devaluando por lo menos por unos meses, la pasaremos piola, no pasa nada, Dios no nos dejará a la deriva, creo. Aguante la Argentina”, finalizó Fernández mientras se observaba una tristeza infinita en sus pupilas, o capaz era perico, nunca lo sabremos. 
",Latinoamérica exige a migrantes que huyen de crisis económicas que al menos tengan la decencia de tener plata￼,https://www.elchiguirebipolar.net/02-08-2022/latinoamerica-exige-a-migrantes-que-huyen-de-crisis-economicas-que-al-menos-tengan-la-decencia-de-tener-plata%ef%bf%bc/
"
La comunidad portuguesa ha estado muy presente en Venezuela y quisimos averiguar desde cuándo, cómo y por qué.

Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo.
El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar.
Tenemos un nuevo episodio todos los jueves a las 6pm. VEN
¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebookInstagram
",109 | ¿Por qué en Venezuela las panaderías son de portugueses?,https://www.elchiguirebipolar.net/28-07-2022/109-por-que-en-venezuela-las-panaderias-son-de-portugueses/
"
Expresar amor se puede hacer en cualquier día, a cualquier hora, en cualquier lugar, en cualquier sitio, menos en una orgía. Esto seguramente le servirá de lección a Juan Carlos Ceballos, el participante #8 de una orgía, quién al entrar a participar de esa actividad fetichista, se volteó para decirle “te amo” a un compañero arruinando por completo el momento.

“Bueno, qué quieres que te diga pues, me dejé llevar por la emoción del momento, o sea, eso fue lo que sentí, a esa chamo que estaba con mi amiga yo no lo conozco, pero la verdad es que en ese instante estábamos compartiendo 8 parejas sexuales yo sentí de todo por él. Sí, todo el mundo dirá que ese mundo es carnal, que ese mundo es pecaminoso, que ese mundo abundan las enfermedades como abundan en los baños de una gasolinera, pero también abundan los sentimientos, el amor, la ternura, el olor corporal combinado con lubrix y la pasión. Al final todo el mundo me miró feo y dejó de hacer lo que estaban haciendo, pero yo la verdad me siento tranquilo conmigo mismo porque fui sincero con mis sentimientos, quisieran ellos sentir esto que siento”, aseguró Ceballos mientras lloraba mientras todo el mundo se ponía la ropa. 
","Chamo arruina orgía con un ""te amo""",https://www.elchiguirebipolar.net/12-08-2022/chamo-arruina-orgia-con-un-te-amo/
"
La reconocida influencer del fitness y la figura más parecida a Messi para las mujeres, Sascha Fitness, rompió una de las barreras que nos limitan al espacio-tiempo al reiniciar la traslación de la tierra para lograr un día de 32 horas y montar TODO ese momento de su vida en los stories de Instagram.

Fitness, quién es la única persona que ha logrado hacer una torta tres leches de almendra, destacó: “Mis amores, esto es por y para ustedes, me alegra informarles que ahora tendrán historias las 32 horas que dura el día, sé que les genera ansiedad cuando me desaparezco, pero ya no más. Desde ahora tendrán todita la info de cualquier cosita que haga, y trataré de subir más fotos con Andy que sé que les encanta pero ustedes ya saben como es él… penoso. Bueno, ahora mismo me voy a Dubai a salvar todas las mujeres que están oprimidas por el yugo machista y después de eso haré pilates y levantaré 350 kilos mientras hago sentadillas y alimento a Sienna, busco productos baratísimos de $ 3.000 dólares, un día normal como siempre ustedes saben”, finalizó Sascha mientras firmaba con Disney su propia serie de superheroína donde su kryptonita será el refresco. 
",Sascha Fitness destruye los límites del espacio-tiempo y logra publicar 32 horas de su día en stories,https://www.elchiguirebipolar.net/04-08-2022/sascha-fitness-destruye-los-limites-del-espacio-tiempo-y-logra-publicar-32-horas-de-su-dia-en-stories/
"
Aristóteles, Socrates y Nacho La Criatura son ilustres celebridades que tienen en común su pasión por la filosofía, que demuestran al tratar de responder constantemente importantes preguntas existenciales. Ahora también se le suma a este selecto grupo de pensadores el Cabo Primero de la Guardia Nacional Yander José Carrillo Carrillo, que durante la mañana de este viernes descubrió sus dotes por la filosofía al reflexionar sobre lo que te me vendría siendo la vida como tal, per sé, mientras cumplía su respectivo turno en una reconocida alcabala del municipio Palavecino, estado Lara.

Entre sus clásicas pedidas “pa’ los frescos” y las extenuantes torturas físicas y psicológicas a quién se rehuse a “colaborar”, Carrillo Carrillo nos ofreció declaraciones sobre su recién aprendida habilidad de conectar más de tres neuronas al mismo tiempo: “Bueno ciudadano, mi persona como tal me encontraba en lo que te me vendría siendo mi respectivo puesto de trabajo como tal, cuando de repente clavé la mirada en un cono naranja que ha perdido el brillo, imagino de tanto sol, y una cosa te me llevó a la otra, me perdí por lo que te me sería un momento en lo que te me vendrían siendo mis propios pensamientos, como tal per sé. Una vez situado en dicho espacio de tipo mental, comencé a autorealizarme interrogantes del tipo preguntas hacia mi persona como tal, como ¿qué es el ser? ¿Qué hay más allá después de la muerte? y hacerme el tonto, ¿para qué? Si a mí no me importa nada, prefiero vivir y perder que no haber vivido nada. Honestamente, estimado ciudadano, me cuestioné si en la vida del Yander José como tal existe un mayor propósito más allá de matraquear, pero ciertamente concluí que lo que necesito es terminar de montarle los dispositivos de tipo corneta a lo que te me vendría siendo mi carro tipo Corsa, como tal. Ahora por favor, ciudadano, colabóreme con algo para lo que vendría siendo el fresco como tal” concluyó el Cabo Primero Carrillo Carrillo mientras procedía a acusar de magnicidio a un joven de 19 años que sólo tenía $5 dólares en efectivo.
",Guardia Nacional filosófico reflexiona sobre lo que te me vendría siendo la vida como tal,https://www.elchiguirebipolar.net/02-08-2022/guardia-nacional-filosofico-reflexiona-sobre-lo-que-te-me-vendria-siendo-la-vida-como-tal/
"
Este lunes, la estatal venezolana, Petróleos de Venezuela, SA, envió una comisión de sus mejores expertos a Cuba para ayudarlos a atender el incendio de los tanques de gasolina que azota la isla, puesto que evidentemente, los cubanos no tienen tanta experiencia quemando infraestructuras petroleras como los venezolanos, y es de suprema urgencia que alguien les enseñe de inmediato cómo explotar refinerías, tanques y balancines eficazmente.

Ramón Fernández, uno de los ingenieros de PDVSA que se encuentra en Cuba, explicó a los medios el objetivo de su misión en La Habana: “Compatriotas, compatriotos y competrietes, en nombre de la Revolución Bolivariana del siglo XXI nos apresuramos a la capital de Venezuela, perdón, quise decir Cuba, para auxiliarlos con su problema de explosiones. Es inaudito que un estado comunista no sepa volver leña su propia infraestructura… 2 días quemando unos tanques de combustible, ¿pueden creer eso? En mis mejores momentos estaba listo en media hora y hasta nos daba tiempo de robarle unos cauchos a las camionetas de la empresa”, aseguró el ingeniero y gerente del área de fosforitos y trikitrakis de PDVSA.
",PDVSA envía expertos a Cuba para enseñarlos a explotar refinerías apropiadamente,https://www.elchiguirebipolar.net/08-08-2022/pdvsa-envia-expertos-a-cuba-para-ensenarlos-a-explotar-refinerias-apropiadamente/
